City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
60,Serov,RU,59.6033,60.5787,42.12,80,100,7.31,overcast clouds,2022-06-28 03:57:23
61,Longyearbyen,SJ,78.2186,15.6401,45.28,79,74,4.25,broken clouds,2022-06-28 03:52:34
62,Kiruna,SE,67.8557,20.2251,63.52,82,75,0.0,broken clouds,2022-06-28 03:57:24
63,Sao Filipe,CV,14.8961,-24.4956,73.94,80,28,8.95,scattered clouds,2022-06-28 03:52:12
64,Mataura,NZ,-46.1927,168.8643,46.47,80,32,1.9,scattered clouds,2022-06-28 03:50:08
65,Cedar City,US,37.6775,-113.0619,68.45,43,57,7.63,broken clouds,2022-06-28 03:57:24
66,Akdepe,TM,42.0551,59.3788,91.49,20,1,15.55,clear sky,2022-06-28 03:51:49
67,Baykit,RU,61.67,96.37,60.75,93,100,7.74,light rain,2022-06-28 03:57:25
68,Cuenca,EC,-2.8833,-78.9833,51.93,87,8,3.44,clear sky,2022-06-28 03:57:25
69,Beringovskiy,RU,63.05,179.3167,52.23,74,89,16.13,overcast clouds,2022-06-28 03:51:48
70,Sorrento,IT,40.626,14.3744,85.33,100,54,5.46,broken clouds,2022-06-28 03:57:26
71,Klaksvik,FO,62.2266,-6.589,50.92,90,95,17.65,overcast clouds,2022-06-28 03:50:47
72,Mehamn,NO,71.0357,27.8492,66.15,59,27,19.57,scattered clouds,2022-06-28 03:50:12
73,Luau,AO,-10.7073,22.2247,54.39,65,10,5.73,clear sky,2022-06-28 03:57:26
74,Bredasdorp,ZA,-34.5322,20.0403,54.0,60,0,5.77,clear sky,2022-06-28 03:50:13
75,San Patricio,US,28.017,-97.5169,82.26,85,88,5.88,overcast clouds,2022-06-28 03:51:26
76,Uruzgan,AF,32.8333,66.0,88.93,10,0,1.54,clear sky,2022-06-28 03:57:27
77,Constitucion,CL,-35.3333,-72.4167,52.86,88,50,15.01,scattered clouds,2022-06-28 03:48:13
78,Lerwick,GB,60.1545,-1.1494,53.6,91,28,15.88,scattered clouds,2022-06-28 03:57:27
79,Acajutla,SV,13.5928,-89.8275,77.81,85,13,3.62,few clouds,2022-06-28 03:57:28
80,Meulaboh,ID,4.1363,96.1285,78.96,84,99,2.39,overcast clouds,2022-06-28 03:51:12
81,Saint George,US,37.1041,-113.5841,99.19,13,0,3.44,clear sky,2022-06-28 03:50:28
82,Mombasa,KE,-4.0547,39.6636,73.09,82,5,13.94,clear sky,2022-06-28 03:57:28
