City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Bara,NG,70.34,overcast clouds,10.3744,10.7288,
178,Santa Fe,AR,52.0,light rain,-31.6333,-60.7,Conquistador Hotel
180,Pilar Do Sul,BR,54.57,scattered clouds,-23.8131,-47.7164,HOTEL CENTRAL
181,Straumen,NO,62.6,broken clouds,63.8709,11.2999,Jægtvolden Fjordhotell
182,Rokiskis,LT,70.92,overcast clouds,55.9667,25.5833,Pagunda
183,Lashio,MM,75.63,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
184,Maningrida,AU,88.3,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
186,Alugan,PH,80.11,overcast clouds,12.2188,125.4808,JM Lodge
187,Cururupu,BR,73.33,heavy intensity rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
188,Lewistown,US,65.14,clear sky,40.5992,-77.5714,Quality Inn & Suites
189,Brae,GB,53.76,scattered clouds,60.3964,-1.353,Busta House Hotel
190,Codrington,AU,55.4,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
191,Cabo San Lucas,MX,84.61,scattered clouds,22.8909,-109.9124,Vista Roof Restaurant
192,Kano,NG,75.09,clear sky,12.0001,8.5167,Royal Tropicana Hotel
193,Nikolskoye,RU,67.91,overcast clouds,59.7035,30.7861,Tourist House - Sablino
194,Homagama,LK,83.95,overcast clouds,6.844,80.0024,Hotel Dream Paradise
195,Cidreira,BR,60.28,overcast clouds,-30.1811,-50.2056,Hotel Castelo
197,Kismayo,SO,76.39,light rain,-0.3582,42.5454,Agan-Hotel
198,Bogoslovka,RU,67.03,clear sky,53.2084,44.8013,Dubrava
199,Kamennogorsk,RU,65.55,broken clouds,60.9545,29.1339,"Serafima, Gostinitsa"
200,Maragogi,BR,74.61,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
201,Vila Velha,BR,64.94,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
202,Pitimbu,BR,73.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
203,Samarai,PG,82.36,overcast clouds,-10.6167,150.6667,Nuli Sapi
204,Pandan,PH,83.07,heavy intensity rain,14.0453,124.1694,Bonifacio Lodge
205,Petropavlovsk-Kamchatskiy,RU,66.79,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
206,Rochester,US,63.09,clear sky,43.1548,-77.6156,Hyatt Regency Rochester
207,Haines Junction,CA,74.25,overcast clouds,60.7522,-137.5108,Parkside Inn
208,Ust-Ilimsk,RU,88.45,overcast clouds,58.0006,102.6619,AleNat Center
209,Carlisle,US,66.15,clear sky,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
210,Lompoc,US,71.78,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
211,Jiangyou,CN,89.58,clear sky,31.7667,104.7167,Shangping Shuyuan Inn
212,Xuddur,SO,69.33,overcast clouds,4.1213,43.8894,Banjanay Hotel
213,Dhidhdhoo,MV,82.44,heavy intensity rain,6.8833,73.1,Dhidhoo beach
214,Kloulklubed,PW,81.46,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
215,Tahoua,NE,86.86,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
216,Tuktoyaktuk,CA,59.0,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
219,Alta Floresta,BR,65.77,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
220,Vila Franca Do Campo,PT,67.19,few clouds,37.7167,-25.4333,Pestana Bahia Praia
221,Andenes,NO,67.98,broken clouds,69.3143,16.1194,Hotell Marena
