City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
535,Cap-Aux-Meules,CA,47.3821,-61.8597,62.24,90,97,27.69,overcast clouds,2022-06-28 03:53:03
536,Yumen,CN,40.2833,97.2,91.24,12,15,4.41,few clouds,2022-06-28 03:53:03
537,Amberley,US,39.2048,-84.428,64.49,62,3,5.73,clear sky,2022-06-28 03:53:03
538,Guarapari,BR,-20.6667,-40.4975,64.89,79,30,4.5,scattered clouds,2022-06-28 03:53:04
539,Sembabule,UG,-0.0772,31.4567,60.35,79,47,6.31,scattered clouds,2022-06-28 03:53:04
540,Verkhnyaya Inta,RU,65.9811,60.3094,46.27,73,92,16.96,overcast clouds,2022-06-28 03:53:05
541,Whitehorse,CA,60.7161,-135.0538,72.1,56,75,3.44,broken clouds,2022-06-28 03:53:05
542,Pyay,MM,18.8167,95.2167,83.86,70,100,7.9,overcast clouds,2022-06-28 03:53:05
543,Linjiang,CN,41.8069,126.9078,73.69,96,100,4.74,overcast clouds,2022-06-28 03:53:06
544,Tautira,PF,-17.7333,-149.15,79.2,73,27,17.34,scattered clouds,2022-06-28 03:53:06
545,Khartoum,SD,15.5518,32.5324,79.29,58,83,15.46,light rain,2022-06-28 03:49:55
546,Sola,VU,-13.8833,167.55,81.27,83,100,4.61,overcast clouds,2022-06-28 03:53:06
547,Rio Gallegos,AR,-51.6226,-69.2181,41.05,65,0,8.05,clear sky,2022-06-28 03:53:07
548,Banes,CU,20.9625,-75.7186,75.04,89,99,1.14,overcast clouds,2022-06-28 03:53:07
549,Kaduy,RU,59.2,37.15,57.02,58,47,7.54,scattered clouds,2022-06-28 03:53:08
550,Zatoka,UA,46.0725,30.4654,72.55,71,30,9.28,scattered clouds,2022-06-28 03:53:08
551,Wanning,CN,18.8003,110.3967,90.25,64,19,13.0,few clouds,2022-06-28 03:53:08
552,Emba,KZ,48.8264,58.1442,70.11,41,0,6.51,clear sky,2022-06-28 03:53:09
553,Mitchellville,US,38.9251,-76.7428,74.62,77,0,8.05,clear sky,2022-06-28 03:50:09
554,Sao Felix Do Xingu,BR,-6.6447,-51.995,68.72,63,7,1.1,clear sky,2022-06-28 03:53:09
555,Zakamensk,RU,50.3741,103.2863,86.99,27,17,5.73,few clouds,2022-06-28 03:53:09
